Instead of,Try
indicate,"show, write down"
indication,sign
inflammation,"redness, swelling"
influenza,flu
inform,"tell, share, show, give information"
initial,first
initially,"at first, first, to start with"
initiate,"start, begin"
injections,shots
in lieu of,"instead of, or, in place of"
inquiries,questions
in regard to,"about, concerning, on"
insult,"injury, harm"
interfere,"get in the way of, keep from, cause problems, prevent"
intermittent,off and on
intervention,"action, treatment, program"
irregular,"uneven, not usual, not normal"
irreversible,"cannot be changed, cannot be fixed"
lesion,wound
localized,"in a small area, in one place, spot"
locate,"find, put"
lucid,clear
magnitude,size
maintain,"keep, keep up, care for, look after, save, support, take care of"
majority,"most, greatest"
manage,"control, direct, be in charge of, take care of, watch, pay attention to"
material change,significant change
maximum,"greatest, largest, most"
medications,"medicines, drugs, pills, syrups"
mentioned,"told, said, listed"
minimize,"decrease, lessen, reduce"
minimum,"least, smallest"
modify,"change, fix"
monitor,"check on, watch, keep an eye on"
morbidity,"sick, sickness"
necessitate,"cause, make, have to, need to, must"
negligible,"very small, tiny"
non-prescription,"not ordered by a doctor, can be bought without a doctor’s order, over the counter"
notify,"let us know, tell, call"
numerous,"many, [list a specific number]"
observe,"watch, see"
obtain,get
optimal,"best, greatest, most, ideal"
optional,by choice
oral,"by mouth, swallow"
partially,partly
participate,"take part in, join, go into, do"
perform,"do, carry out, end, finish, take"
permit,let
permissible,"allowed, you can"
pertaining to,"about, of, on"
physician,"doctor, provider"
portion,part
possess,"have, own"
precaution,"safety measure, care"
preclude,"prevent, stop, get in the way of"
predominant,main
preference,"choice, wish, desire, option"
prevalent,"common, happens often"
previous,"before, earlier, past, the time before"
previously,before
primary,"main, key, first"
prioritize,"rank, put in the right order, put first things first, put things in order of how important they are"
prior to,"before, earlier"
proceed,"do, go ahead, try"
prohibit,"forbid, ban, prevent, don’t"
prolonged,"stays, lasts, carries on, goes on for a long time, continues"
promptly,"right away, soon"
provide,"give, offer, say, supply, list"
proximity (to),"close to, near"
receive,"use, get"
recognize,"come to see, be aware of"
recover,"get well, get better, heal"
recur,come back
reduce,"cut, use less, lower"
refer,send to
refrain,"stop, stay away"
regarding,"about, of, on"
regardless,no matter what
reject,"turn down, deny, refuse"
relating to,"about, on"
remain,stay
remainder,"rest, left over"
require,"must, need, want, lack"
requirement,"need, rule"
reside,"live at, live with"
resolve,"decide, settle, agree, finish, go away, work out"
responsible for,"in charge of, handles"
restriction,"limit, rule against"
resume,"go back to, begin again, go on with, come back"
retain,keep
review,"check, go over, look at again"
revised,"new, changed"
safeguard,"protect, keep safe, save"
settle your account,pay your bill
severe,"strong, serious, harmful, dangerous, very bad"
significant,"important, major"
similar to,like
solely,only
solicit,"ask for, request"
specialist,"an expert in the field, a doctor who has special training"
state,"say, tell, write down"
statement,"bill, charge"
state-of-the-art,latest
submit,"give, send, mail, bring"
subsequent,"later, next, following"
substantially,largely
sufficient,enough
supplement,add to
supplementary,"extra, more"
symptoms,"problems, signs, or warnings of illness"
tablet,"pill, dose"
thereafter,"then, from the on, afterwards"
therefore,"so, then, for, since"
this office,we
timely,prompt
time period,from _____ to _____
toxic,"poisonous, unsafe"
transmit,"send, give to others, pass to others, spread"
ultimately,"in the end, finally"
unexpected,"unplanned, not expected, sudden"
urgent,"cannot wait long, needs attention very soon"
"utilize, utilization","use, make use of"
warrant,"call for, permit"
"with regard to, with respect to",about
with the exception of,except for
withdraw,"take away, remove, take out"
witness,see
